"Ctry_code","tech_name","filing_year","mean_k","share"
"Australia","Electrical Machinery",1985,13.0964777947933,0.152677110123919
"Australia","Electrical Machinery",1986,13.1703601108033,0.1501351632356
"Australia","Electrical Machinery",1987,12.8876811594203,0.154535274356103
"Australia","Electrical Machinery",1988,12.6651634723788,0.149881716796215
"Australia","Electrical Machinery",1989,12.9818731117825,0.156033940917662
"Australia","Electrical Machinery",1990,12.8740671641791,0.159904534606205
"Australia","Electrical Machinery",1991,13.1863829787234,0.167857142857143
"Australia","Electrical Machinery",1992,12.8747203579418,0.176656566987222
"Australia","Electrical Machinery",1993,12.9239417989418,0.183606557377049
"Australia","Electrical Machinery",1994,12.5362903225806,0.188388497015735
"Australia","Electrical Machinery",1995,12.0577550069865,0.201388237501172
"Australia","Electrical Machinery",1996,12.0428746427113,0.203371532967946
"Australia","Electrical Machinery",1997,12.0963722975449,0.20855941918227
"Australia","Electrical Machinery",1998,11.9474537787869,0.208493947386218
"Australia","Electrical Machinery",1999,11.965671641791,0.209152775176375
"Australia","Electrical Machinery",2000,12.5031791907514,0.196056210335449
"Australia","Electrical Machinery",2001,12.5930807248764,0.192637258013329
"Australia","Electrical Machinery",2002,12.8001594472495,0.179970347697164
"Australia","Electrical Machinery",2003,13.1650561504309,0.173297126046617
"Australia","Electrical Machinery",2004,13.6730577689243,0.160858767924377
"Australia","Electrical Machinery",2005,13.7070608355729,0.154779912267433
"Australia","Electrical Machinery",2006,13.9611674499134,0.148645170778337
"Australia","Electrical Machinery",2007,14.0149216612783,0.146998610806463
"Australia","Electrical Machinery",2008,14.1809989701339,0.140439687590396
"Australia","Electrical Machinery",2009,13.9341736694678,0.138721585389547
"Australia","Electrical Machinery",2010,14.1602176541717,0.138282752278238
"Australia","Electrical Machinery",2011,13.9562876148242,0.13977066454155
"Australia","Electrical Machinery",2012,14.3053953172718,0.144503285279984
"Australia","Electrical Machinery",2013,14.1995768688293,0.160798321710041
"Australia","Electrical Machinery",2014,14.3004115226337,0.178402189147701
"Australia","Electrical Machinery",2015,14.237273511648,0.196724094033777
"Australia","Electrical & Audiovisual Technologies",1985,11.8204225352113,0.13280336684592
"Australia","Electrical & Audiovisual Technologies",1986,12.1942336874052,0.137034726554377
"Australia","Electrical & Audiovisual Technologies",1987,12.6352459016393,0.136618141097424
"Australia","Electrical & Audiovisual Technologies",1988,13.1885143570537,0.135349780331193
"Australia","Electrical & Audiovisual Technologies",1989,14.035799522673,0.131678189817725
"Australia","Electrical & Audiovisual Technologies",1990,14.2009132420091,0.130668257756563
"Australia","Electrical & Audiovisual Technologies",1991,14.5553047404063,0.126571428571429
"Australia","Electrical & Audiovisual Technologies",1992,14.3858695652174,0.121196153339481
"Australia","Electrical & Audiovisual Technologies",1993,14.5229645093946,0.116332726168792
"Australia","Electrical & Audiovisual Technologies",1994,14.7937262357414,0.114161692892024
"Australia","Electrical & Audiovisual Technologies",1995,16.0963222416813,0.107119407185067
"Australia","Electrical & Audiovisual Technologies",1996,17.1713370696557,0.103720312240492
"Australia","Electrical & Audiovisual Technologies",1997,17.8364732479277,0.101413832632786
"Australia","Electrical & Audiovisual Technologies",1998,20.4618395303327,0.103672144451207
"Australia","Electrical & Audiovisual Technologies",1999,22.4341405788541,0.105700193544359
"Australia","Electrical & Audiovisual Technologies",2000,24.5273760330579,0.109700815956482
"Australia","Electrical & Audiovisual Technologies",2001,24.7077922077922,0.114037871575161
"Australia","Electrical & Audiovisual Technologies",2002,26.2984126984127,0.120522263140275
"Australia","Electrical & Audiovisual Technologies",2003,27.0971775634155,0.126680244399185
"Australia","Electrical & Audiovisual Technologies",2004,28.0126947489902,0.138828807177762
"Australia","Electrical & Audiovisual Technologies",2005,27.9622786759045,0.147368022991983
"Australia","Electrical & Audiovisual Technologies",2006,29.0346191889219,0.148681936835913
"Australia","Electrical & Audiovisual Technologies",2007,29.317598644396,0.151019960517657
"Australia","Electrical & Audiovisual Technologies",2008,29.3283513451368,0.157253398900781
"Australia","Electrical & Audiovisual Technologies",2009,29.3801301301301,0.155274917427628
"Australia","Electrical & Audiovisual Technologies",2010,30.3443870617015,0.153791489005936
"Australia","Electrical & Audiovisual Technologies",2011,30.4016345592528,0.151680170009297
"Australia","Electrical & Audiovisual Technologies",2012,30.4503764544832,0.14327743453957
"Australia","Electrical & Audiovisual Technologies",2013,30.2721026110857,0.123773884447468
"Australia","Electrical & Audiovisual Technologies",2014,29.8698113207547,0.106120269638924
"Australia","Electrical & Audiovisual Technologies",2015,28.26614481409,0.0867351268777052
"Australia","Information & Communication Technology",1985,14.0868544600939,0.09960252513444
"Australia","Information & Communication Technology",1986,14.3619246861925,0.099396964025785
"Australia","Information & Communication Technology",1987,14.7471482889734,0.0981709593131766
"Australia","Information & Communication Technology",1988,15.4957698815567,0.0998648191956742
"Australia","Information & Communication Technology",1989,16.4165341812401,0.0988372093023256
"Australia","Information & Communication Technology",1990,18.0826833073323,0.0956145584725537
"Australia","Information & Communication Technology",1991,18.2371601208459,0.0945714285714286
"Australia","Information & Communication Technology",1992,19.9351585014409,0.0914240548017389
"Australia","Information & Communication Technology",1993,20.9600532623169,0.0911961141469338
"Australia","Information & Communication Technology",1994,21.262893081761,0.0862723819858926
"Australia","Information & Communication Technology",1995,21.6966666666667,0.0844198480442735
"Australia","Information & Communication Technology",1996,24.0327533265097,0.0811327022089354
"Australia","Information & Communication Technology",1997,27.3711151736746,0.0836071837982423
"Australia","Information & Communication Technology",1998,29.185628742515,0.0790559275038886
"Australia","Information & Communication Technology",1999,34.2596726190476,0.083910844727477
"Australia","Information & Communication Technology",2000,41.6449367088608,0.0895285584768812
"Australia","Information & Communication Technology",2001,45.2849254555494,0.0957896963926796
"Australia","Information & Communication Technology",2002,51.5490196078431,0.10000478262949
"Australia","Information & Communication Technology",2003,56.4317434210526,0.110070151618013
"Australia","Information & Communication Technology",2004,59.5562409288824,0.110390130577586
"Australia","Information & Communication Technology",2005,63.2986885245902,0.115338072908788
"Australia","Information & Communication Technology",2006,67.3520504731861,0.116548402514798
"Australia","Information & Communication Technology",2007,69.3416246851385,0.116107333479564
"Australia","Information & Communication Technology",2008,70.5950255102041,0.113393115417992
"Australia","Information & Communication Technology",2009,71.2944145356662,0.115484748397125
"Australia","Information & Communication Technology",2010,71.4462564862861,0.112783212106011
"Australia","Information & Communication Technology",2011,71.2458758837392,0.11271970602559
"Australia","Information & Communication Technology",2012,72.7174188106284,0.116259684220849
"Australia","Information & Communication Technology",2013,76.1165876777251,0.119634858536032
"Australia","Information & Communication Technology",2014,80.4884233737596,0.121070546619502
