"year","countries","ratio_patpep"
1966,"Australia",NA
1968,"Australia",NA
1969,"Australia",NA
1971,"Australia",NA
1972,"Australia",NA
1973,"Australia",NA
1974,"Australia",NA
1975,"Australia",NA
1976,"Australia",NA
1977,"Australia",NA
1978,"Australia",NA
1979,"Australia",NA
1980,"Australia",NA
1981,"Australia",NA
1982,"Australia",NA
1983,"Australia",NA
1984,"Australia",NA
1985,"Australia",NA
1986,"Australia",NA
1987,"Australia",NA
1988,"Australia",1.51515151515152
1989,"Australia",0.970873786407767
1990,"Australia",NA
1991,"Australia",3.2258064516129
1992,"Australia",1.12994350282486
1993,"Australia",1.8957345971564
1994,"Australia",0.943396226415094
1995,"Australia",2.5974025974026
1996,"Australia",2.5974025974026
1997,"Australia",2.28758169934641
1998,"Australia",5.0314465408805
1999,"Australia",4.89913544668588
2000,"Australia",3.14465408805031
2001,"Australia",4.55840455840456
2002,"Australia",2.36486486486486
2003,"Australia",3.26797385620915
2004,"Australia",1.65745856353591
2005,"Australia",2.88184438040346
2006,"Australia",2.18068535825545
2007,"Australia",2.43243243243243
2008,"Australia",2.0997375328084
2009,"Australia",1.99004975124378
2010,"Australia",3.94088669950739
2011,"Australia",5.38116591928251
2012,"Australia",4.86725663716814
2013,"Australia",4.68164794007491
2014,"Australia",5.97609561752988
2015,"Australia",4.20475319926874
2016,"Australia",6.4
2017,"Australia",6.00461893764434
2018,"Australia",3.57142857142857
2019,"Australia",6.73469387755102
2020,"Australia",4.14201183431953
1966,"Canada",NA
1967,"Canada",NA
1968,"Canada",NA
1970,"Canada",NA
1971,"Canada",NA
1972,"Canada",NA
1973,"Canada",NA
1974,"Canada",NA
1975,"Canada",NA
1976,"Canada",NA
1977,"Canada",NA
1978,"Canada",NA
1979,"Canada",NA
1980,"Canada",NA
1981,"Canada",NA
1982,"Canada",NA
1983,"Canada",2.32558139534884
1984,"Canada",NA
1985,"Canada",NA
1986,"Canada",1.11111111111111
1987,"Canada",0.775193798449612
1988,"Canada",NA
1989,"Canada",0.429184549356223
1990,"Canada",0.359712230215827
1991,"Canada",1.51975683890578
1992,"Canada",0.921658986175115
1993,"Canada",0.934579439252336
1994,"Canada",0.986193293885602
1995,"Canada",1.04895104895105
1996,"Canada",1.04849279161206
1997,"Canada",2.30040595399188
1998,"Canada",4.59110473457676
1999,"Canada",4.45402298850575
2000,"Canada",6.04395604395604
2001,"Canada",6.60660660660661
2002,"Canada",6.74846625766871
2003,"Canada",4.55927051671733
2004,"Canada",2.78164116828929
2005,"Canada",2.27882037533512
2006,"Canada",3.11284046692607
2007,"Canada",2.94840294840295
2008,"Canada",3.18725099601594
2009,"Canada",4.28211586901763
2010,"Canada",5.0125313283208
2011,"Canada",4.73751600512164
2012,"Canada",8.07291666666667
2013,"Canada",4.21179302045728
2014,"Canada",3.76670716889429
2015,"Canada",6.55737704918033
2016,"Canada",3.92156862745098
2017,"Canada",6.65742024965326
2018,"Canada",6.51289009497965
2019,"Canada",5.27638190954774
2020,"Canada",7.54716981132075
1986,"China",NA
1987,"China",NA
1988,"China",NA
1989,"China",NA
1990,"China",NA
1991,"China",NA
1992,"China",NA
1993,"China",NA
1994,"China",1.42857142857143
1995,"China",NA
1996,"China",NA
1997,"China",NA
1998,"China",0.273972602739726
1999,"China",0.211864406779661
2000,"China",NA
2001,"China",0.46801872074883
2002,"China",0.213675213675214
2003,"China",0.225903614457831
2004,"China",0.273074822501365
2005,"China",0.16604400166044
2006,"China",0.170590242238144
2007,"China",0.236686390532544
2008,"China",0.247524752475248
2009,"China",0.137994480220791
2010,"China",0.19280205655527
2011,"China",0.118343195266272
2012,"China",0.365509220800797
2013,"China",0.308234258036107
2014,"China",0.400748063051029
2015,"China",0.390291498963288
2016,"China",0.542863605519113
2017,"China",0.481489407233041
2018,"China",0.254221899400763
2019,"China",0.304878048780488
2020,"China",0.331221198156682
1969,"Denmark",NA
1972,"Denmark",NA
1973,"Denmark",NA
1974,"Denmark",NA
1975,"Denmark",NA
1976,"Denmark",NA
1977,"Denmark",NA
1978,"Denmark",NA
1979,"Denmark",NA
1980,"Denmark",NA
1981,"Denmark",NA
1982,"Denmark",NA
1983,"Denmark",NA
1984,"Denmark",NA
1985,"Denmark",NA
1986,"Denmark",7.14285714285714
1987,"Denmark",NA
1988,"Denmark",NA
1989,"Denmark",NA
1990,"Denmark",NA
1991,"Denmark",1.92307692307692
1992,"Denmark",NA
1993,"Denmark",NA
1994,"Denmark",NA
1995,"Denmark",NA
1996,"Denmark",3.88349514563107
1997,"Denmark",1.41843971631206
1998,"Denmark",16.3461538461538
1999,"Denmark",7.75862068965517
2000,"Denmark",5.38461538461539
2001,"Denmark",6.5359477124183
2002,"Denmark",6.34920634920635
2003,"Denmark",2.8169014084507
2004,"Denmark",6.80272108843537
2005,"Denmark",2.8735632183908
2006,"Denmark",5.15463917525773
2007,"Denmark",1.51515151515152
2008,"Denmark",1.57068062827225
2009,"Denmark",1.51515151515152
2010,"Denmark",4.78468899521531
2011,"Denmark",5.02092050209205
2012,"Denmark",9.90566037735849
2013,"Denmark",11.2745098039216
2014,"Denmark",4.3859649122807
2015,"Denmark",10
2016,"Denmark",8.13397129186603
2017,"Denmark",6.73575129533679
2018,"Denmark",7.17299578059072
2019,"Denmark",9.43396226415094
2020,"Denmark",6.97674418604651
1965,"France",NA
1966,"France",NA
1967,"France",NA
1968,"France",NA
1969,"France",NA
1970,"France",NA
1971,"France",NA
1972,"France",NA
1973,"France",NA
1974,"France",NA
1975,"France",NA
1976,"France",NA
1977,"France",NA
1978,"France",NA
1979,"France",NA
1980,"France",5.55555555555556
1981,"France",NA
1982,"France",1.35135135135135
1983,"France",2.85714285714286
1984,"France",1.11111111111111
1985,"France",1.05263157894737
1986,"France",0.775193798449612
1987,"France",NA
1988,"France",0.434782608695652
1989,"France",0.359712230215827
1990,"France",0.53475935828877
1991,"France",1
1992,"France",0.631578947368421
1993,"France",0.188323917137476
1994,"France",0.78003120124805
1995,"France",0.94722598105548
1996,"France",1.24575311438279
1997,"France",2.2002200220022
1998,"France",3.82022471910112
1999,"France",2.9585798816568
2000,"France",4.26599749058971
2001,"France",5.32994923857868
2002,"France",2.77044854881266
2003,"France",4.71938775510204
2004,"France",3.44827586206897
2005,"France",3.58056265984655
2006,"France",2.63522884882108
2007,"France",3.6096256684492
2008,"France",3.37738619676946
2009,"France",3.07692307692308
2010,"France",6.2780269058296
2011,"France",5.52238805970149
2012,"France",6.38888888888889
2013,"France",5.50595238095238
2014,"France",6.01851851851852
2015,"France",9.47867298578199
2016,"France",7.89049919484702
2017,"France",8.58895705521472
2018,"France",8.61788617886179
2019,"France",9.03522205206738
2020,"France",7.63473053892216
1965,"Germany",NA
1966,"Germany",NA
1967,"Germany",NA
1968,"Germany",NA
1969,"Germany",NA
1970,"Germany",NA
1971,"Germany",NA
1972,"Germany",NA
1973,"Germany",NA
1974,"Germany",NA
1975,"Germany",NA
1976,"Germany",NA
1977,"Germany",NA
1978,"Germany",NA
1979,"Germany",NA
1980,"Germany",1.88679245283019
1981,"Germany",NA
1982,"Germany",1.53846153846154
1983,"Germany",1.47058823529412
1984,"Germany",1.17647058823529
1985,"Germany",1.19047619047619
1986,"Germany",1.6260162601626
1987,"Germany",0.571428571428571
1988,"Germany",0.393700787401575
1989,"Germany",NA
1990,"Germany",0.264550264550265
1991,"Germany",0.75187969924812
1992,"Germany",0.681818181818182
1993,"Germany",0.505050505050505
1994,"Germany",0.915032679738562
1995,"Germany",0.694444444444444
1996,"Germany",1.56555772994129
1997,"Germany",1.806684733514
1998,"Germany",2.56821829855538
1999,"Germany",3.20769847634322
2000,"Germany",3.68550368550369
2001,"Germany",4.49526813880126
2002,"Germany",4.39469320066335
2003,"Germany",4.39814814814815
2004,"Germany",3.93939393939394
2005,"Germany",3.72381691233514
2006,"Germany",3.52281825460368
2007,"Germany",3.64963503649635
2008,"Germany",4.09899458623357
2009,"Germany",3.39366515837104
2010,"Germany",6.81137724550898
2011,"Germany",6.09939759036145
2012,"Germany",7.61904761904762
2013,"Germany",6.34573304157549
2014,"Germany",6.40542577241899
2015,"Germany",7.72727272727273
2016,"Germany",7.66773162939297
2017,"Germany",7.9646017699115
2018,"Germany",11.0843373493976
2019,"Germany",15.6626506024096
2020,"Germany",16.4575645756458
1968,"Italy",NA
1969,"Italy",NA
1970,"Italy",NA
1971,"Italy",NA
1972,"Italy",NA
1973,"Italy",NA
1974,"Italy",NA
1975,"Italy",NA
1976,"Italy",NA
1977,"Italy",NA
1978,"Italy",NA
1979,"Italy",NA
1980,"Italy",NA
1981,"Italy",NA
1982,"Italy",NA
1983,"Italy",NA
1984,"Italy",NA
1985,"Italy",NA
1986,"Italy",NA
1987,"Italy",2.77777777777778
1988,"Italy",NA
1989,"Italy",NA
1990,"Italy",NA
1991,"Italy",NA
1992,"Italy",NA
1993,"Italy",NA
